id,question_id,character_id,answer
0,0,0,2
1,1,0,1
2,3,0,1
3,5,0,3
4,6,0,2
5,7,0,1
6,8,0,1
7,9,0,1
8,10,0,1
9,11,0,1
10,12,0,1
11,13,0,1
12,14,0,2
13,15,0,2
14,16,0,2
15,17,0,1
16,18,0,2
17,19,0,1
18,20,0,2
19,21,0,2
20,0,1,2
21,1,1,2
22,3,1,2
23,5,1,2
24,6,1,2
25,7,1,1
26,8,1,2
27,9,1,3
28,10,1,2
29,11,1,2
30,12,1,1
31,13,1,3
32,14,1,1
33,15,1,1
34,16,1,2
35,17,1,2
36,18,1,1
37,19,1,1
38,20,1,2
39,21,1,3
40,0,2,3
41,1,2,2
42,3,2,2
43,5,2,2
44,6,2,1
45,7,2,1
46,8,2,2
47,9,2,3
48,10,2,2
49,11,2,2
50,12,2,1
51,13,2,3
52,14,2,2
53,15,2,2
54,16,2,2
55,17,2,1
56,18,2,2
57,19,2,3
58,20,2,2
59,21,2,2
60,0,3,2
61,1,3,2
62,3,3,2
63,5,3,2
64,6,3,2
65,7,3,1
66,8,3,2
67,9,3,3
68,10,3,2
69,11,3,2
70,12,3,2
71,13,3,3
72,14,3,2
73,15,3,1
74,16,3,1
75,17,3,1
76,18,3,1
77,19,3,2
78,20,3,2
79,21,3,2
80,0,4,2
81,1,4,2
82,3,4,2
83,5,4,2
84,6,4,2
85,7,4,1
86,8,4,2
87,9,4,3
88,10,4,2
89,11,4,2
90,12,4,1
91,13,4,1
92,14,4,2
93,15,4,2
94,16,4,3
95,17,4,1
96,18,4,1
97,19,4,1
98,20,4,1
99,21,4,1
